gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
ADSL,0.4206907403290886,-0.6958437648287562,1.714391200303616,-0.11663841992394744,0.3684767730531636
AEBP2,0.15494309867142342,1.2956200658790094,-0.343480374168628,-0.17408563293267204,0.35204381173063587
AEN,0.12541097910546323,-0.3355824112423495,1.7668107572661365,-0.1415501285743296,0.37956301277957055
AFAP1,-0.6754888422121565,-2.6704584308716863,-0.6109470660856028,-1.7482311245468185,-1.149936368757674
AFAP1L1,-2.835879053495594,-2.314053073401506,-0.46179623595338376,0.9669369262422074,-1.5837283760066732
AFAP1L2,-2.8752049411537692,-1.9350317963014683,-0.569558601603097,-0.04559742991293517,-1.4545606932787172
AFF1,-0.02070029829432107,0.6561682382981501,-0.5512737778024783,0.3055588405944872,0.0570209393523392
AFF2,0.28755566916718084,1.0246963449467568,-1.216109241216169,-0.03421201268240929,0.0749670117263653
AFF3,0.8401590659272583,1.8107065438278025,-2.360866214891652,-0.9940058376300941,0.17925011328211682
AFF4,-0.42880719450117144,-0.7112434320355097,-0.836015014896093,-1.115950632576685,-0.671493594777498
AFMID,1.3572331227035455,1.4369671845429046,-1.691717445889887,-2.070455600611285,0.3840183294409848
AFTPH,-0.26313463454246094,0.0702783050463632,-0.025375499524308603,2.2044892215351344,-0.0521197366408927
AGA,1.286036562275006,-1.0457956406957885,2.304758129054338,0.3599018983894895,0.7319124345780322
AGBL5,0.8414226817755521,0.170788960433789,-0.16262638326768555,0.3375579800518845,0.219567876684787
AGER,-0.43294957276709645,0.10677544742880855,0.6098654112659695,-0.9096270902048837,0.12578625601270937
AGFG1,-0.705229890845222,-2.348716519182114,-0.9252927742955169,-0.29924601639335735,-1.2358438674860475
AGFG2,0.9971294324697807,0.9745017642617776,0.2073445477220354,-0.16048854420381092,0.6921860037016623
AGGF1,-0.7729138579486208,-1.1912006938440982,-0.487266401531677,0.02016962606751546,-0.8157646408546767
AGK,0.3416479551872559,-0.8219378088737505,0.21713378276577727,-0.5790261597082226,-0.12853599839268431
AGL,-0.4020914315860514,-0.5238325057279075,0.5278632829827543,-0.15795885431552661,-0.13551274105608405
